folder,plc,network,loss,rtt,app_neteq,neteq_v1,kNormal,kCodecPlc,kExpand,kMerge,kAccelerateSuccess,kAccelerateLowEnergy,kAccelerateFail,kPreemptiveExpandSuccess,kPreemptiveExpandLowEnergy,kPreemptiveExpandFail,kDefault
en-5_dec-6_normal_dred-0_2G-DevelopingRural_loss-0_rtt-50_03-08-2026_193817,False,2G-DevelopingRural,0,50,1.95611,4.83511,273,0,1217,431,5,0,0,149,82,80,0
en-5_dec-6_normal_dred-0_2G-DevelopingRural_loss-10_rtt-120_03-08-2026_193959,False,2G-DevelopingRural,10,120,1.67597,4.82857,215,0,1277,402,9,0,4,146,109,78,0
en-5_dec-6_normal_dred-0_2G-DevelopingRural_loss-15_rtt-160_03-08-2026_194050,False,2G-DevelopingRural,15,160,1.40417,4.81782,169,0,1383,381,8,0,2,110,97,66,0
en-5_dec-6_normal_dred-0_2G-DevelopingRural_loss-20_rtt-200_03-08-2026_194141,False,2G-DevelopingRural,20,200,1.61847,4.82406,208,0,1327,380,10,0,2,154,86,75,0
en-5_dec-6_normal_dred-0_2G-DevelopingRural_loss-30_rtt-300_03-08-2026_194232,False,2G-DevelopingRural,30,300,1.05431,4.81181,151,0,1448,374,15,0,10,102,74,62,0
en-5_dec-6_normal_dred-0_2G-DevelopingRural_loss-40_rtt-400_03-08-2026_194323,False,2G-DevelopingRural,40,400,0.671529,4.80358,143,0,1582,305,5,0,2,68,66,62,0
en-5_dec-6_normal_dred-0_2G-DevelopingRural_loss-50_rtt-600_03-08-2026_194414,False,2G-DevelopingRural,50,600,0.452986,4.79643,131,0,1655,291,8,0,4,39,60,41,0
en-5_dec-6_normal_dred-0_2G-DevelopingRural_loss-5_rtt-80_03-08-2026_193908,False,2G-DevelopingRural,5,80,1.92813,4.83419,248,0,1224,377,5,0,2,141,146,74,0
en-5_dec-6_normal_dred-0_2G-DevelopingRural_loss-70_rtt-900_03-08-2026_194505,False,2G-DevelopingRural,70,900,0.416667,4.78095,138,0,1860,164,9,0,0,13,30,17,0
en-5_dec-6_normal_dred-0_2G-DevelopingRural_loss-90_rtt-1200_03-08-2026_194556,False,2G-DevelopingRural,90,1200,0.416667,4.77077,140,0,2008,44,8,0,0,3,28,3,0
en-5_dec-6_normal_dred-0_2G-DevelopingUrban_loss-0_rtt-50_03-08-2026_194647,False,2G-DevelopingUrban,0,50,3.34542,4.91821,766,0,435,112,6,0,14,491,223,193,0
en-5_dec-6_normal_dred-0_2G-DevelopingUrban_loss-10_rtt-120_03-08-2026_194829,False,2G-DevelopingUrban,10,120,3.29118,4.90678,661,0,548,171,6,0,12,413,195,227,0
en-5_dec-6_normal_dred-0_2G-DevelopingUrban_loss-15_rtt-160_03-08-2026_194920,False,2G-DevelopingUrban,15,160,3.07153,4.89478,579,0,633,193,11,5,4,366,254,187,0
en-5_dec-6_normal_dred-0_2G-DevelopingUrban_loss-20_rtt-200_03-08-2026_195010,False,2G-DevelopingUrban,20,200,2.78618,4.88062,512,0,802,216,5,0,0,302,245,155,0
